year,minimum_wage,state
2021,9.45,South Dakota
2022,9.95,South Dakota
2023,10.80,South Dakota
1997,4.75,Tennessee
1998,5.15,Tennessee
1999,5.15,Tennessee
2000,5.15,Tennessee
2001,5.15,Tennessee
2002,5.15,Tennessee
2003,5.15,Tennessee
2004,5.15,Tennessee
2005,5.15,Tennessee
2006,5.15,Tennessee
2007,5.15,Tennessee
2008,5.85,Tennessee
2009,6.55,Tennessee
2010,7.25,Tennessee
2011,7.25,Tennessee
2012,7.25,Tennessee
2013,7.25,Tennessee
2014,7.25,Tennessee
2015,7.25,Tennessee
2016,7.25,Tennessee
2017,7.25,Tennessee
2018,7.25,Tennessee
2019,7.25,Tennessee
2020,7.25,Tennessee
2021,7.25,Tennessee
2022,7.25,Tennessee
2023,7.25,Tennessee
1997,3.35,Texas
1998,3.35,Texas
1999,3.35,Texas
2000,3.35,Texas
2001,3.35,Texas
2002,5.15,Texas
2003,5.15,Texas
2004,5.15,Texas
2005,5.15,Texas
2006,5.15,Texas
2007,5.15,Texas
2008,5.85,Texas
2009,6.55,Texas
2010,7.25,Texas
2011,7.25,Texas
2012,7.25,Texas
2013,7.25,Texas
2014,7.25,Texas
2015,7.25,Texas
2016,7.25,Texas
2017,7.25,Texas
2018,7.25,Texas
2019,7.25,Texas
2020,7.25,Texas
2021,7.25,Texas
2022,7.25,Texas
2023,7.25,Texas
1997,4.75,Utah
1998,5.15,Utah
1999,5.15,Utah
2000,5.15,Utah
2001,5.15,Utah
2002,5.15,Utah
2003,5.15,Utah
2004,5.15,Utah
2005,5.15,Utah
2006,5.15,Utah
2007,5.15,Utah
2008,5.85,Utah
2009,6.55,Utah
2010,7.25,Utah
2011,7.25,Utah
2012,7.25,Utah
2013,7.25,Utah
2014,7.25,Utah
2015,7.25,Utah
2016,7.25,Utah
2017,7.25,Utah
2018,7.25,Utah
2019,7.25,Utah
2020,7.25,Utah
2021,7.25,Utah
2022,7.25,Utah
2023,7.25,Utah
1997,4.75,Virginia
1998,5.15,Virginia
1999,5.15,Virginia
2000,5.15,Virginia
2001,5.15,Virginia
2002,5.15,Virginia
2003,5.15,Virginia
2004,5.15,Virginia
2005,5.15,Virginia
2006,5.15,Virginia
2007,5.15,Virginia
2008,5.85,Virginia
2009,6.55,Virginia
2010,7.25,Virginia
2011,7.25,Virginia
2012,7.25,Virginia
2013,7.25,Virginia
2014,7.25,Virginia
2015,7.25,Virginia
2016,7.25,Virginia
2017,7.25,Virginia
2018,7.25,Virginia
2019,7.25,Virginia
2020,7.25,Virginia
2021,9.50,Virginia
2022,11.00,Virginia
2023,12.00,Virginia
1997,5,Vermont
1998,5.25,Vermont
1999,5.25,Vermont
2000,5.75,Vermont
2001,6.25,Vermont
2002,6.25,Vermont
2003,6.25,Vermont
2004,6.75,Vermont
2005,7,Vermont
2006,7.25,Vermont
2007,7.53,Vermont
2008,7.68,Vermont
2009,8.06,Vermont
2010,8.06,Vermont
2011,8.15,Vermont
2012,8.46,Vermont
2013,8.6,Vermont
2014,8.73,Vermont
2015,9.15,Vermont
2016,9.6,Vermont
2017,10,Vermont
2018,10.5,Vermont
2019,10.78,Vermont
2020,10.96,Vermont
2021,11.75,Vermont
2022,12.55,Vermont
2023,13.18,Vermont
1997,4.9,Washington
1998,4.9,Washington
1999,4.9,Washington
2000,6.5,Washington
2001,6.72,Washington
2002,6.9,Washington
2003,7.01,Washington
2004,7.16,Washington
2005,7.35,Washington
2006,7.63,Washington
2007,7.93,Washington
2008,8.07,Washington
2009,8.55,Washington
2010,8.55,Washington
2011,8.67,Washington
2012,9.04,Washington
2013,9.19,Washington
2014,9.32,Washington
2015,9.47,Washington
2016,9.47,Washington
2017,11,Washington
2018,11.5,Washington
2019,12,Washington
2020,13.50,Washington
2021,13.69,Washington
2022,14.49,Washington
2023,15.74,Washington
1997,4.75,Wisconsin
1998,5.15,Wisconsin
1999,5.15,Wisconsin
2000,5.15,Wisconsin
2001,5.15,Wisconsin
2002,5.15,Wisconsin
2003,5.15,Wisconsin
2004,5.15,Wisconsin
2005,5.15,Wisconsin
2006,5.7,Wisconsin
2007,6.5,Wisconsin
2008,6.5,Wisconsin
2009,6.5,Wisconsin
2010,7.25,Wisconsin
2011,7.25,Wisconsin
2012,7.25,Wisconsin
2013,7.25,Wisconsin
2014,7.25,Wisconsin
2015,7.25,Wisconsin
2016,7.25,Wisconsin
2017,7.25,Wisconsin
2018,7.25,Wisconsin
2019,7.25,Wisconsin
2020,7.25,Wisconsin
2021,7.25,Wisconsin
2022,7.25,Wisconsin
2023,7.25,Wisconsin
1997,4.25,West Virginia
1998,4.75,West Virginia
1999,4.75,West Virginia
2000,5.15,West Virginia
2001,5.15,West Virginia
2002,5.15,West Virginia
2003,5.15,West Virginia
2004,5.15,West Virginia
2005,5.15,West Virginia
2006,5.15,West Virginia
2007,5.85,West Virginia
2008,6.55,West Virginia
2009,7.25,West Virginia
2010,7.25,West Virginia
2011,7.25,West Virginia
2012,7.25,West Virginia
2013,7.25,West Virginia
2014,7.25,West Virginia
2015,8,West Virginia
2016,8.75,West Virginia
2017,8.75,West Virginia
2018,8.75,West Virginia
2019,8.75,West Virginia
2020,8.75,West Virginia
2021,8.75,West Virginia
2022,8.75,West Virginia
2023,8.75,West Virginia
1997,1.6,Wyoming
1998,1.6,Wyoming
1999,1.6,Wyoming
2000,1.6,Wyoming
2001,1.6,Wyoming
2002,5.15,Wyoming
2003,5.15,Wyoming
2004,5.15,Wyoming
2005,5.15,Wyoming
2006,5.15,Wyoming
2007,5.15,Wyoming
2008,5.15,Wyoming
2009,5.15,Wyoming
2010,5.15,Wyoming
2011,5.15,Wyoming
2012,5.15,Wyoming
2013,5.15,Wyoming
2014,5.15,Wyoming
2015,5.15,Wyoming
2016,5.15,Wyoming
2017,5.15,Wyoming
2018,5.15,Wyoming
2019,7.25,Wyoming
2020,7.25,Wyoming
2021,7.25,Wyoming
2022,7.25,Wyoming
2023,7.25,Wyoming
